Training on: ['S2', 'S3', 'S4', 'S5', 'S6', 'S7', 'S8', 'S9', 'S10', 'S11', 'S13', 'S14']
Validation on: ['S15', 'S16', 'S17']
Loading Subjects: ['S2', 'S3', 'S4', 'S5', 'S6', 'S7', 'S8', 'S9', 'S10', 'S11', 'S13', 'S14']...
Finished loading. Total segments: 52772
Loading Subjects: ['S15', 'S16', 'S17']...
Finished loading. Total segments: 6721
Total Train Samples: 52772
Total Val Samples: 6721
Using device: cuda
Epoch [90/100] | Loss: 0.0189 | Train Acc: 99.42% | Val Acc: 91.83% | Time: 42.2s
Epoch [91/100] | Loss: 0.0181 | Train Acc: 99.49% | Val Acc: 89.41% | Time: 42.0s
Epoch [92/100] | Loss: 0.0219 | Train Acc: 99.34% | Val Acc: 90.51% | Time: 42.0s
Epoch [93/100] | Loss: 0.0204 | Train Acc: 99.38% | Val Acc: 92.68% | Time: 43.0s
Epoch [94/100] | Loss: 0.0171 | Train Acc: 99.50% | Val Acc: 92.25% | Time: 71.3s
Epoch [95/100] | Loss: 0.0219 | Train Acc: 99.36% | Val Acc: 93.97% | Time: 75.9s
Epoch [96/100] | Loss: 0.0194 | Train Acc: 99.40% | Val Acc: 95.12% | Time: 69.4s
Epoch [97/100] | Loss: 0.0172 | Train Acc: 99.45% | Val Acc: 86.21% | Time: 69.4s
Epoch [98/100] | Loss: 0.0229 | Train Acc: 99.30% | Val Acc: 92.72% | Time: 75.5s
Epoch [99/100] | Loss: 0.0154 | Train Acc: 99.53% | Val Acc: 87.34% | Time: 67.7s
Epoch [100/100] | Loss: 0.0164 | Train Acc: 99.52% | Val Acc: 90.14% | Time: 55.8s
Training Complete. Best Validation Accuracy: 97.01%
